,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
69,1693.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
70,1706.406,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
71,1707.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
72,1725.156,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
73,1728.155,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
74,1732.155,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
75,1732.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
76,1739.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
77,1744.659,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
78,1753.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
79,1761.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
80,1761.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
81,1781.403,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
82,1793.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
83,1812.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
84,1814.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
85,1824.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
86,1848.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
87,1852.403,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
88,1872.658,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
89,1874.151,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
90,1875.654,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
91,1878.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
92,1879.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
93,1883.651,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
94,1884.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
95,1889.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
96,1900.651,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
97,1922.652,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
98,1923.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
99,1928.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
100,1969.652,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
101,2003.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
102,2006.406,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
103,2012.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
104,2033.657,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
105,2037.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
106,2045.402,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
107,2047.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
108,2049.151,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
109,2054.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
110,2056.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
111,2059.156,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
112,2064.652,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
113,2067.156,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
114,2072.406,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
115,2073.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
116,2074.155,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
117,2078.654,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
118,2081.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
119,2083.655,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
120,2084.407,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
121,2086.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
122,2090.152,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
