,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
95,95,655.727,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
96,96,656.002,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
97,97,657.327,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
98,98,657.962,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
99,99,658.126,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
100,100,658.627,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
101,101,659.577,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
102,102,659.577,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
103,103,663.127,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
104,104,664.401,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
105,105,667.052,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
106,106,667.052,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
