Observation id	#4 Dyad Scoring							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/4.avi							
								
Observation date	2021-04-16 20:02:55							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
954.458	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
955.460	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
970.271	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
972.277	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
972.980	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
979.884	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
980.683	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
981.486	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
988.092	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
990.896	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
1003.608	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1015.220	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1018.323	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1025.930	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1047.351	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1050.655	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1052.259	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1053.761	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1056.259	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1075.077	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1077.786	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1115.921	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1116.621	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1120.227	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1121.726	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1128.830	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1129.832	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1131.636	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1133.139	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1133.936	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1135.239	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1135.739	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1136.739	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1144.244	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1146.051	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1148.549	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1152.352	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1153.457	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1159.563	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1159.761	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1160.964	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1162.766	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1163.264	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1166.971	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1181.685	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1182.586	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1186.390	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1190.595	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1192.194	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1193.797	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1195.199	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
