Observation id	Dyad 13							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/13.avi							
								
Observation date	2021-05-04 11:09:08							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
667.972	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
668.273	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
671.977	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Lead	Reproductive		POINT
678.383	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
680.384	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
684.889	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
687.289	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
689.994	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
695.800	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
696.599	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Scrape	Aggressive		POINT
699.504	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
701.205	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Quiver	Reproductive		POINT
708.010	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
708.010	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
714.322	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
714.620	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
717.625	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
717.920	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
718.923	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Quiver	Reproductive		POINT
721.726	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
722.529	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
725.029	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
726.332	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
727.529	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
733.138	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
735.438	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
