Observation id	A2C (sub.)							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4							
								
Observation date	2021-06-14 13:59:42							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1485.655	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1535.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1546.157	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1556.653	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1563.154	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1588.159	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1592.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1624.157	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1625.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1629.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1634.655	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1637.655	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1693.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1706.406	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1707.905	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1725.156	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1728.155	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1732.155	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
