,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,avg,sterr,stderr
11,Chase,Scrape,Aggressive,0.04000000000000001,0.02142857142857143,0.0196078431372549,0.007142857142857143,0.016981132075471698,0.0,0.0028011204481792717,0.006329113924050633,0.0,0.0,0.014492753623188408,0.014098165030981685,0.0,0.0038122246605541725
12,Dig Substrate,Chase,Reproductive,0.011764705882352943,0.023809523809523808,0.0,0.01607142857142857,0.0,0.0,0.0056022408963585435,0.0,0.018823529411764704,0.026359143327841845,0.0,0.00878425213704795,0.0,0.002749586840781084
13,Dig Substrate,Dig Substrate,Reproductive,0.08941176470588237,0.2857142857142857,0.03594771241830065,0.15357142857142858,0.0,0.015337423312883436,0.19327731092436976,0.0,0.19294117647058823,0.17957166392092258,0.0,0.0950141946726572,0.0,0.02681866626194357
14,Dig Substrate,Foraging,Reproductive,0.016470588235294122,0.0380952380952381,0.00980392156862745,0.014285714285714285,0.0,0.003067484662576687,0.011204481792717087,0.0,0.021176470588235293,0.019769357495881382,0.0,0.01156491115073681,0.0,0.00313122538651272
15,Dig Substrate,Lead,Reproductive,0.025882352941176474,0.014285714285714285,0.00980392156862745,0.017857142857142856,0.0,0.006134969325153374,0.058823529411764705,0.0,0.004705882352941176,0.009884678747940691,0.0,0.013327734187049035,0.0,0.004576553702687777
16,Foraging,Chase,Reproductive,0.016470588235294122,0.009523809523809525,0.013071895424836602,0.014285714285714285,0.016981132075471698,0.0,0.0,0.0,0.02823529411764706,0.04118616144975288,0.0,0.012017321795986175,0.0,0.0035015581317849476
17,Foraging,Dig Substrate,Reproductive,0.018823529411764708,0.04285714285714286,0.0032679738562091504,0.026785714285714284,0.0,0.003067484662576687,0.022408963585434174,0.0,0.01647058823529412,0.04118616144975288,0.0,0.014899314442742582,0.0,0.004286850958208497
18,Foraging,Foraging,Reproductive,0.19764705882352943,0.05952380952380952,0.0392156862745098,0.24464285714285713,0.01509433962264151,0.03374233128834356,0.03081232492997199,0.0,0.05411764705882353,0.3014827018121911,0.0,0.09030198579232361,0.0,0.02921936172301903
19,Foraging,Lead,Reproductive,0.023529411764705885,0.004761904761904762,0.013071895424836602,0.05357142857142857,0.018867924528301886,0.03067484662576687,0.014005602240896359,0.006329113924050633,0.01647058823529412,0.018121911037891267,0.0,0.017148772221521755,0.0,0.0039875711022931415
20,Foraging,Pot,Reproductive,0.004705882352941177,0.002380952380952381,0.006535947712418301,0.0017857142857142857,0.0,0.003067484662576687,0.008403361344537815,0.0,0.007058823529411765,0.0016474464579901153,0.0,0.0030993457753449,0.0,0.0008147546355753943
21,Foraging,Scrape,Reproductive,0.021176470588235297,0.002380952380952381,0.0,0.005357142857142857,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.003998294528261232,0.0,0.0021587494064697673
22,Lateral Side Display,Chase,Aggressive,0.004705882352941177,0.002380952380952381,0.0032679738562091504,0.0,0.007547169811320755,0.0,0.0,0.0,0.002352941176470588,0.0016474464579901153,0.014492753623188408,0.004276442741169397,0.0,0.0014055424434246699
23,Lateral Side Display,Lead,Aggressive,0.004705882352941177,0.0,0.013071895424836602,0.0035714285714285713,0.0037735849056603774,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0027813682716814263,0.0,0.0010790835159530726
24,Lead,Border Fight,Reproductive,0.0023529411764705885,0.011904761904761904,0.026143790849673203,0.0035714285714285713,0.01509433962264151,0.012269938650306749,0.0,0.012658227848101266,0.0,0.0,0.0,0.00664218229229649,0.0,0.0022844633058323343
25,Lead,Chase,Reproductive,0.07058823529411766,0.009523809523809525,0.05555555555555555,0.02142857142857143,0.09056603773584905,0.05521472392638037,0.0056022408963585435,0.02531645569620253,0.02588235294117647,0.011532125205930808,0.0,0.033984487961389975,0.0,0.008516003365970333
26,Lead,Dig Substrate,Reproductive,0.011764705882352943,0.02142857142857143,0.0032679738562091504,0.01607142857142857,0.0,0.0,0.047619047619047616,0.0,0.002352941176470588,0.011532125205930808,0.0,0.009677038432489543,0.0,0.003749944226334991
27,Lead,Foraging,Reproductive,0.025882352941176474,0.004761904761904762,0.00980392156862745,0.05178571428571429,0.013207547169811321,0.027607361963190184,0.0196078431372549,0.012658227848101266,0.018823529411764704,0.03130148270181219,0.0,0.018563249133118003,0.0,0.003983968215846004
28,Lead,Lead,Reproductive,0.04235294117647059,0.030952380952380953,0.049019607843137254,0.09464285714285714,0.16226415094339622,0.3220858895705521,0.12324929971988796,0.3924050632911392,0.02823529411764706,0.05271828665568369,0.23188405797101452,0.13877283296397325,0.0,0.03358027858054158
29,Lead,Pot,Reproductive,0.004705882352941177,0.002380952380952381,0.00980392156862745,0.0,0.022641509433962263,0.024539877300613498,0.008403361344537815,0.03164556962025317,0.002352941176470588,0.0,0.0,0.008552299810099962,0.0,0.00298250354234342
30,Lead,Quiver,Reproductive,0.007058823529411766,0.002380952380952381,0.02287581699346405,0.019642857142857142,0.007547169811320755,0.027607361963190184,0.04201680672268908,0.0189873417721519,0.0,0.013179571663920923,0.11594202898550726,0.030787660267721888,0.0,0.01094739581277161
