,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,prob_1,prob_2,prob_3,avg,stderr
13,Chase,Lead,Aggressive,0.021739130434782608,0.04148471615720524,0.02067669172932331,0.0024096385542168677,0.0,0.00744047619047619,0.011182108626198083,0.006122448979591836,0.0084985835694051,0.004016064257028112,0.006060606060606061,0.012779552715654953,0.018656716417910446,0.0,0.012948808443731741,0.002534400552450983
14,Chase,Scrape,Aggressive,0.014492753623188406,0.05895196506550218,0.01691729323308271,0.004819277108433735,0.019230769230769232,0.004464285714285714,0.039936102236421724,0.006122448979591836,0.0084985835694051,0.0214190093708166,0.022222222222222223,0.031948881789137386,0.013059701492537313,0.0,0.01929524491679537,0.0035193352972761327
15,Entry/Exit Pot,Charge,Reproductive,0.007246376811594203,0.0,0.009398496240601505,0.0,0.0,0.00744047619047619,0.003194888178913738,0.0,0.0,0.0107095046854083,0.0,0.009584664536741215,0.007462686567164179,0.0,0.00403315078940911,0.000929554608430071
16,Entry/Exit Pot,Entry/Exit Pot,Reproductive,0.036231884057971016,0.002183406113537118,0.005639097744360903,0.0012048192771084338,0.0,0.002976190476190476,0.01757188498402556,0.0326530612244898,0.0,0.014725568942436412,0.0,0.004792332268370608,0.005597014925373134,0.009900990099009901,0.009046627027209294,0.0024646251180524786
17,Entry/Exit Pot,Lead,Reproductive,0.021739130434782608,0.002183406113537118,0.001879699248120301,0.0,0.01282051282051282,0.0,0.006389776357827476,0.004081632653061225,0.00141643059490085,0.0013386880856760374,0.0,0.0031948881789137383,0.007462686567164179,0.0297029702970297,0.007198754645048804,0.002051120963922317
18,Entry/Exit Pot,Pot Dig,Reproductive,0.014492753623188406,0.008733624454148471,0.02067669172932331,0.0012048192771084338,0.01282051282051282,0.01488095238095238,0.04313099041533546,0.05510204081632653,0.00141643059490085,0.03480589022757698,0.00808080808080808,0.017571884984025562,0.013059701492537313,0.039603960396039604,0.01859115024227106,0.0031377775769573586
19,Entry/Exit Pot,Quiver,Reproductive,0.021739130434782608,0.0,0.0,0.0012048192771084338,0.0,0.0,0.001597444089456869,0.0,0.0,0.0013386880856760374,0.0,0.0,0.0,0.0297029702970297,0.004919544190589744,0.0021744867705635676
20,Entry/Exit Pot,Scrape,Reproductive,0.007246376811594203,0.0,0.001879699248120301,0.0,0.0,0.0,0.001597444089456869,0.0,0.0,0.0,0.0,0.0015974440894568692,0.0,0.0,0.0010474765630818007,0.0004548997745812133
21,Foraging,Lead,Reproductive,0.007246376811594203,0.021834061135371178,0.01691729323308271,0.02289156626506024,0.019230769230769232,0.004464285714285714,0.011182108626198083,0.006122448979591836,0.04107648725212465,0.004016064257028112,0.00202020202020202,0.006389776357827477,0.007462686567164179,0.009900990099009901,0.012519003138119156,0.002019330993269915
22,Foraging,Quiver,Reproductive,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.00141643059490085,0.0,0.0,0.0015974440894568692,0.0,0.0,0.000961131305615164,0.0004557753524826349
23,Lead,Biting,Reproductive,0.09420289855072464,0.006550218340611353,0.009398496240601505,0.01927710843373494,0.0,0.001488095238095238,0.04153354632587859,0.03469387755102041,0.032577903682719546,0.029451137884872823,0.006060606060606061,0.009584664536741215,0.014925373134328358,0.0297029702970297,0.023597692357788278,0.005471334309455988
24,Lead,Charge,Reproductive,0.028985507246376812,0.0,0.01879699248120301,0.01325301204819277,0.00641025641025641,0.011904761904761904,0.006389776357827476,0.012244897959183673,0.0113314447592068,0.0107095046854083,0.012121212121212121,0.006389776357827477,0.013059701492537313,0.0297029702970297,0.013800408462063773,0.0018876202612342896
25,Lead,Chase,Reproductive,0.007246376811594203,0.05458515283842795,0.01879699248120301,0.0,0.01282051282051282,0.011904761904761904,0.01597444089456869,0.00816326530612245,0.009915014164305949,0.002677376171352075,0.006060606060606061,0.015974440894568693,0.020522388059701493,0.0,0.013992149343355758,0.003163351054485829
26,Lead,Entry/Exit Pot,Reproductive,0.028985507246376812,0.004366812227074236,0.001879699248120301,0.0012048192771084338,0.01282051282051282,0.002976190476190476,0.001597444089456869,0.004081632653061225,0.0,0.0013386880856760374,0.0,0.006389776357827477,0.009328358208955223,0.009900990099009901,0.0066784724297201,0.0017365215847656855
27,Lead,Foraging,Reproductive,0.007246376811594203,0.024017467248908297,0.013157894736842108,0.03253012048192771,0.02564102564102564,0.005952380952380952,0.003194888178913738,0.00816326530612245,0.0339943342776204,0.004016064257028112,0.00404040404040404,0.012779552715654953,0.011194029850746268,0.0,0.01322243865387484,0.002291727496503411
28,Lead,Lead,Reproductive,0.13768115942028986,0.04148471615720524,0.01691729323308271,0.04819277108433735,0.019230769230769232,0.022321428571428572,0.01437699680511182,0.03469387755102041,0.04815864022662889,0.01606425702811245,0.026262626262626262,0.01916932907348243,0.018656716417910446,0.18811881188118812,0.05217330983969619,0.01187325690983201
29,Lead,Quiver,Reproductive,0.014492753623188406,0.004366812227074236,0.001879699248120301,0.004819277108433735,0.00641025641025641,0.002976190476190476,0.009584664536741214,0.022448979591836733,0.007082152974504249,0.004016064257028112,0.0,0.0031948881789137383,0.0,0.07920792079207921,0.012201864118280751,0.004771060822196189
30,Lead,Scrape,Reproductive,0.057971014492753624,0.008733624454148471,0.0,0.0,0.0,0.0,0.009584664536741214,0.02040816326530612,0.0056657223796034,0.008032128514056224,0.00202020202020202,0.0031948881789137383,0.005597014925373134,0.019801980198019802,0.01083309669247857,0.0035347499570841778
31,Pot Dig,Entry/Exit Pot,Reproductive,0.014492753623188406,0.006550218340611353,0.02067669172932331,0.0012048192771084338,0.01282051282051282,0.013392857142857142,0.04153354632587859,0.04285714285714286,0.0028328611898017,0.03480589022757698,0.010101010101010102,0.01916932907348243,0.013059701492537313,0.039603960396039604,0.018089080846835092,0.002832687918008396
